Date,Adani Ports and Special Economic Zone Ltd.,Asian Paints Ltd.,Axis Bank Ltd.,Bajaj Auto Ltd.,Bajaj Finance Ltd.,Bajaj Finserv Ltd.,Bharat Petroleum Corporation Ltd.,Bharti Airtel Ltd.,Britannia Industries Ltd.,Cipla Ltd.,Divis Laboratories Ltd.,Dr. Reddys Laboratories Ltd.,Eicher Motors Ltd.,Grasim Industries Ltd.,HCL Technologies Ltd.,HDFC Bank Ltd.,Hero MotoCorp Ltd.,Hindalco Industries Ltd.,Hindustan Unilever Ltd.,Housing Development Finance Corporation Ltd.,ICICI Bank Ltd.,ITC Ltd.,Indian Oil Corporation Ltd.,IndusInd Bank Ltd.,Infosys Ltd.,JSW Steel Ltd.,Kotak Mahindra Bank Ltd.,Larsen & Toubro Ltd.,Mahindra & Mahindra Ltd.,Maruti Suzuki India Ltd.,NTPC Ltd.,Nestle India Ltd.,Oil & Natural Gas Corporation Ltd.,Power Grid Corporation of India Ltd.,Reliance Industries Ltd.,Shree Cement Ltd.,Sun Pharmaceutical Industries Ltd.,Tata Consultancy Services Ltd.,Tata Consumer Products Ltd.,Tata Steel Ltd.,Tech Mahindra Ltd.,Titan Company Ltd.,UPL Ltd.,UltraTech Cement Ltd.,Wipro Ltd.
2011-01-17,137.100006,266.285004,245.800003,1268.400024,61.603107,406.199341,97.599998,319.985168,177.449997,346.799988,307.975006,1640.699951,114.879997,378.771149,119.099998,206.809998,1787.75,224.850006,301.649994,663.650024,182.027267,114.633331,78.5625,226.800003,408.600006,97.529999,201.899994,746.533325,368.825012,1269.599976,155.875,3684.649902,195.016663,73.312515,494.264862,1781,232.699997,568.700012,104.900002,596.079651,172.899994,171.267502,102.099998,1010.75,175.031296
2011-01-18,139.850006,265.475006,255.649994,1294.699951,63.298519,426.192474,98.23333,316.220642,177.975006,354.600006,307.850006,1671.650024,113.105003,374.867249,122.1875,210.934998,1786.849976,229.449997,301.850006,658.349976,183.899994,117.433334,78.5,236.899994,415.375,101.544998,202.600006,748.444458,373.200012,1277.599976,157.166672,3649.100098,195.074997,73.987518,492.754181,1779.949951,242.175003,601.275024,104.75,602.701172,173.25,174.107498,103.833336,1019.25,179.456299
2011-01-19,139.800003,266.834991,256.019989,1321.800049,61.301918,427.813538,97.383331,316.266541,177.149994,351.549988,309.575012,1657.849976,111.834999,373.372314,127.012497,207.544998,1764.349976,235.600006,299.649994,653.099976,186.045456,116.966667,78.412498,234,406.200012,105.294998,206.850006,734,375.424988,1272.699951,155.958328,3650.649902,193.141663,73.425018,485.473206,1788.699951,242.225006,596.5,104.949997,609.370361,172.362503,172.735001,103.366669,1014.400024,178.537537
2011-01-20,139.399994,267.429993,257.019989,1300.199951,60.466358,422.066132,95.916664,312.456085,194.074997,351.350006,312.625,1666.25,109.764999,377.508575,127.712502,211.755005,1776.199951,236.5,299.899994,660.599976,191.009094,114.433334,78.237503,240.300003,411.987488,104.330002,209.449997,736.06665,380.149994,1259.25,157.166672,3683.800049,189.050003,74.175018,480.371552,1774.099976,244.199997,606.099976,106.5,604.225586,173.925003,174.357498,101.599998,1033.800049,179.062546
2011-01-21,140,266.350006,257.410004,1313.300049,61.146465,417.252045,98.48333,308.553833,186.425003,354,310.924988,1651.949951,108.519997,373.581451,124.887497,209.414993,1753.25,234.449997,298.200012,651.200012,193.736359,112.599998,81.949997,232.050003,405.481262,101.294998,206.800003,733.088867,385.100006,1248.650024,158.291672,3610.350098,184.258331,74.13752,488.766968,1763.5,242.675003,605.825012,105.650002,599.795349,172.612503,175.317505,101.533333,1024,170.981293
2011-01-24,142.25,262.095001,265.149994,1307.349976,62.331795,415.287109,100.199997,305.845215,186.600006,348.5,313.549988,1636.099976,110.824997,371.187988,127.037498,214.860001,1744.300049,232.050003,297.950012,669.450012,197.072723,112.73333,82.462502,238.699997,410.581238,103.18,207.074997,737.266663,395.799988,1292.5,160.541672,3664.649902,189.708328,73.912521,481.238342,1740,242.375,604.599976,106.25,618.56427,173.925003,178.452499,103.366669,1017.75,166.46254
2011-01-25,140.149994,259.984985,259.440002,1294.349976,60.306049,416.466095,105.158333,310.114746,186.925003,343.149994,315.350006,1578.849976,113.07,366.834839,127.125,208.429993,1774.550049,235.100006,281.899994,670.200012,188.709091,112,84.199997,231.699997,407.456238,101.43,202.550003,740.755554,385.649994,1288.150024,163.375,3632.149902,188.40834,73.800018,474.749847,1736.25,236.850006,594.275024,106.199997,624.375977,173.087494,179.904999,103.400002,1023.099976,167.58754
2011-01-27,138.149994,260.005005,259.790009,1286.150024,59.373329,408.85199,106.116669,299.004791,185.899994,333.450012,307.975006,1555.050049,107.5,364.9216,126.387497,205.089996,1724,232.949997,270.700012,667.099976,184.427277,111.866669,82.175003,221.850006,399.612488,96.305,196.149994,731.266663,366.774994,1269.699951,162.333328,3549.449951,185.633331,74.100021,466.924042,1708.050049,230.725006,599.700012,106.349998,619.374084,168.912506,178.287506,99.566666,1004.849976,164.49379
2011-01-28,139.5,257.910004,250.699997,1260.650024,57.464172,407.967773,105.408333,300.473877,184.175003,335.100006,309.399994,1563.300049,104.959999,356.742004,123.324997,205.425003,1656.949951,223.550003,271.950012,645.25,185.172729,112.099998,83.5625,215.600006,396.018738,89.639999,189.774994,714.35553,348.950012,1229.349976,159.958328,3492.600098,188.816666,72.412521,452.21347,1663.349976,224.399994,590.674988,99.800003,607.32196,163.762497,173.397507,93.533333,997.900024,164.100037
2011-01-31,140.550003,257.75,248.440002,1245.949951,57.075539,401.63089,102.166664,292.898895,189.149994,332.149994,317.424988,1624.25,102.290001,353.403564,122.6875,204.729996,1633.099976,229.649994,271.149994,628.349976,185.745453,108.400002,84.237503,223.899994,389.712494,90.550003,192.625,729.377747,356.674988,1252.849976,157.541672,3327.550049,196.300003,72.412521,455.333893,1665.5,220.425003,579.75,99.449997,609.465637,162.737503,180.054993,90.73333,1002.799988,164.287537
2011-02-01,139.449997,248.789993,248.529999,1246.099976,54.544571,406.739685,96.75,291.154358,188.074997,329,311.674988,1609.349976,100.415001,349.840485,121.137497,203.960007,1610.349976,229.899994,269.649994,633.25,180.872726,106.400002,81.199997,218.649994,386.149994,89.934998,188.375,701.555542,352.899994,1242.400024,154.375,3240.850098,196.125,71.737518,443.545624,1636.550049,216.550003,575.075012,98.300003,601.891357,158.5625,179.860001,91.066666,996.099976,161.006287
2011-02-02,136.5,248.544998,245.009995,1214.300049,52.892883,397.946655,98.941666,296.38797,183.074997,325.5,313.075012,1613.400024,107.480003,347.013245,124.550003,201.990005,1522.800049,234.800003,274.600006,617.450012,183.890915,106,81.462502,223.300003,386.15625,92.995003,186.199997,699.333313,350.274994,1217.050049,150.208328,3256.949951,196.933334,71.662514,456.324493,1604.75,218.300003,591.224976,97.349998,596.651306,160.262497,176.800003,89.699997,999.849976,164.193787
2011-02-03,138.350006,247.160004,251.270004,1209.550049,58.256012,401.385284,99.266663,311.997009,184.675003,329.399994,315.850006,1600.349976,108.175003,355.378754,122.775002,206.095001,1563.75,246.050003,278.950012,624.299988,186.727264,106.300003,80.125,224.149994,389.700012,92.629997,189.274994,724.711121,352.825012,1218.199951,151.916672,3251.199951,199.233337,73.987518,467.518402,1566.199951,218.649994,591.849976,96.050003,607.941223,162.537506,179.887497,94.900002,1005.299988,165.750046
